,Last_Update,Province_State,Country_Region,Confirmed,Deaths,Confirmed_perday,Deaths_perday
15,2022-11-26 04:21:11,Victoria,Australia,2717657,6003,3643.0,4.0
15,2022-11-27 04:21:05,Victoria,Australia,2721084,6003,3427.0,0.0
15,2022-11-28 04:21:02,Victoria,Australia,2724235,6003,3151.0,0.0
15,2022-11-29 04:21:05,Victoria,Australia,2728384,6022,4149.0,19.0
15,2022-11-30 04:21:07,Victoria,Australia,2732762,6027,4378.0,5.0
16,2022-11-23 04:21:06,Western Australia,Australia,1198725,735,-1534037.0,-5292.0
16,2022-11-24 04:21:09,Western Australia,Australia,1198725,735,0.0,0.0
16,2022-11-25 04:21:06,Western Australia,Australia,1209214,750,10489.0,15.0
16,2022-11-26 04:21:11,Western Australia,Australia,1209214,750,0.0,0.0
16,2022-11-27 04:21:05,Western Australia,Australia,1209214,750,0.0,0.0
16,2022-11-28 04:21:02,Western Australia,Australia,1209214,750,0.0,0.0
16,2022-11-29 04:21:05,Western Australia,Australia,1209214,750,0.0,0.0
16,2022-11-30 04:21:07,Western Australia,Australia,1209214,750,0.0,0.0
17,2022-11-23 04:21:06,None,Austria,5524683,21149,4315469.0,20399.0
17,2022-11-24 04:21:09,None,Austria,5530456,21159,5773.0,10.0
17,2022-11-25 04:21:06,None,Austria,5535259,21165,4803.0,6.0
17,2022-11-26 04:21:11,None,Austria,5539629,21179,4370.0,14.0
17,2022-11-27 04:21:05,None,Austria,5544112,21187,4483.0,8.0
17,2022-11-28 04:21:02,None,Austria,5547582,21187,3470.0,0.0
17,2022-11-29 04:21:05,None,Austria,5550575,21189,2993.0,2.0
17,2022-11-30 04:21:07,None,Austria,5554975,21202,4400.0,13.0
18,2022-11-23 04:21:06,None,Azerbaijan,824033,9975,-4730942.0,-11227.0
18,2022-11-24 04:21:09,None,Azerbaijan,824082,9975,49.0,0.0
18,2022-11-25 04:21:06,None,Azerbaijan,824127,9975,45.0,0.0
18,2022-11-26 04:21:11,None,Azerbaijan,824168,9975,41.0,0.0
18,2022-11-27 04:21:05,None,Azerbaijan,824193,9976,25.0,1.0
18,2022-11-28 04:21:02,None,Azerbaijan,824232,9976,39.0,0.0
18,2022-11-29 04:21:05,None,Azerbaijan,824245,9976,13.0,0.0
18,2022-11-30 04:21:07,None,Azerbaijan,824288,9978,43.0,2.0
19,2022-11-23 04:21:06,None,Bahamas,37461,833,-786827.0,-9145.0
19,2022-11-24 04:21:09,None,Bahamas,37461,833,0.0,0.0
19,2022-11-25 04:21:06,None,Bahamas,37471,833,10.0,0.0
19,2022-11-26 04:21:11,None,Bahamas,37471,833,0.0,0.0
19,2022-11-27 04:21:05,None,Bahamas,37476,833,5.0,0.0
19,2022-11-28 04:21:02,None,Bahamas,37476,833,0.0,0.0
19,2022-11-29 04:21:05,None,Bahamas,37476,833,0.0,0.0
19,2022-11-30 04:21:07,None,Bahamas,37483,833,7.0,0.0
20,2022-11-23 04:21:06,None,Bahrain,695279,1535,657796.0,702.0
20,2022-11-24 04:21:09,None,Bahrain,695448,1535,169.0,0.0
20,2022-11-25 04:21:06,None,Bahrain,695584,1535,136.0,0.0
20,2022-11-26 04:21:11,None,Bahrain,695676,1535,92.0,0.0
20,2022-11-27 04:21:05,None,Bahrain,695766,1536,90.0,1.0
20,2022-11-28 04:21:02,None,Bahrain,695914,1536,148.0,0.0
20,2022-11-29 04:21:05,None,Bahrain,696061,1536,147.0,0.0
20,2022-11-30 04:21:07,None,Bahrain,696198,1536,137.0,0.0
21,2022-11-23 04:21:06,None,Bangladesh,2036416,29431,1340218.0,27895.0
21,2022-11-24 04:21:09,None,Bangladesh,2036449,29431,33.0,0.0
21,2022-11-25 04:21:06,None,Bangladesh,2036469,29431,20.0,0.0
21,2022-11-26 04:21:11,None,Bangladesh,2036488,29431,19.0,0.0
21,2022-11-27 04:21:05,None,Bangladesh,2036511,29431,23.0,0.0
21,2022-11-28 04:21:02,None,Bangladesh,2036527,29431,16.0,0.0
21,2022-11-29 04:21:05,None,Bangladesh,2036556,29432,29.0,1.0
21,2022-11-30 04:21:07,None,Bangladesh,2036567,29433,11.0,1.0
22,2022-11-23 04:21:06,None,Barbados,103545,564,-1933022.0,-28869.0
22,2022-11-24 04:21:09,None,Barbados,103955,564,410.0,0.0
22,2022-11-25 04:21:06,None,Barbados,103955,564,0.0,0.0
22,2022-11-26 04:21:11,None,Barbados,103955,564,0.0,0.0
22,2022-11-27 04:21:05,None,Barbados,103955,564,0.0,0.0
22,2022-11-28 04:21:02,None,Barbados,103955,564,0.0,0.0
22,2022-11-29 04:21:05,None,Barbados,103955,564,0.0,0.0
22,2022-11-30 04:21:07,None,Barbados,103955,564,0.0,0.0
23,2022-11-23 04:21:06,None,Belarus,994037,7118,890082.0,6554.0
23,2022-11-24 04:21:09,None,Belarus,994037,7118,0.0,0.0
23,2022-11-25 04:21:06,None,Belarus,994037,7118,0.0,0.0
23,2022-11-26 04:21:11,None,Belarus,994037,7118,0.0,0.0
23,2022-11-27 04:21:05,None,Belarus,994037,7118,0.0,0.0
23,2022-11-28 04:21:02,None,Belarus,994037,7118,0.0,0.0
23,2022-11-29 04:21:05,None,Belarus,994037,7118,0.0,0.0
23,2022-11-30 04:21:07,None,Belarus,994037,7118,0.0,0.0
