id,createdAt,location,tweetText
1597638677735575552,2022-11-29 17:08:38+00:00,"Ottawa, Ontario", Should see lower vaccine uptake across the board now that government and public health leaders have broken trust with the public after trying to coerce millions into taking Covid vaccines Any entirely predictable outcome
1597638668944314368,2022-11-29 17:08:36+00:00,Canada,"If you have a moment please answer this poll question Should provincial funding be pulled from organizations requiring employeesparticipants to have a COVID19 vaccine

"
1597638631849480192,2022-11-29 17:08:27+00:00,, The Covid Vaccine is killing people all across this planet
1597638604872126467,2022-11-29 17:08:20+00:00,Brasil,"I tested positive for COVID   

How do you think I am  How I really am 

The name of this is VACCINE "
1597638585011695617,2022-11-29 17:08:16+00:00,International, A new study describes successful animal tests of just such a vaccine offering hope that the country can be protected ag
1597638562975211521,2022-11-29 17:08:10+00:00,"Texas, USA","_txt  my wackadoodle cousin tried to do this religious exemption crap on the covid vaccine

WE ARE CATHOLIC THE POPE SAYS ITS OUR DUTY TO PROTECT THE WEAK AND TO GET ALL VACCINATIONS 

Stupid"
1597638530053951494,2022-11-29 17:08:02+00:00,"Las Vegas, Nevada",Tis the season Get your updated COVID19 vaccine before the holidays There are  vaccine clinics throughout the Las Vegas Valley  
1597638526601809920,2022-11-29 17:08:02+00:00,, Vaccine mandates should not come from schools or from the state  The right to informed consent is a basic humanpatient
1597638519195041793,2022-11-29 17:08:00+00:00,"Belo Horizonte, Brasil"," The worlds 1st nasal Covid vaccine was approved 3 months ago
So  where are the data
"
1597638511313956864,2022-11-29 17:07:58+00:00,"Alabama, USA",Covid19 and the vaccine is a scam
1597638507937550336,2022-11-29 17:07:57+00:00,,_cyhtt   Dr Grace please explain why governments need to threaten doctors who disagree with Covid vaccines with the revoking of their medical licenses Yet they still refuse to comply WHY would any doctor do such a thing unless they considered the vaccine a risk to their patients WHY
1597638494171471872,2022-11-29 17:07:54+00:00,, If they have the Covidvaccine theyre not even worth fucking 
1597869743939416065,2022-11-30 08:26:48+00:00,," Covid vaccine effectiveness countdown 

 Sound On

"
1597869741846147072,2022-11-30 08:26:48+00:00,, Now that Twitter stopped enforcing its COVID misinformation policies I can finally tell you that the vaccine doesnt work
1597869739921248256,2022-11-30 08:26:47+00:00,Belgi,"_truther Jorja Halliday tragically died from myocarditis caused by Covid She had tested positive four days earlier

She had b"
1597869738943606784,2022-11-30 08:26:47+00:00,,"  pulled its enormous marketing budget from 

 pulled the Covidmisinformation community guidelines"
1597869723072753665,2022-11-30 08:26:43+00:00,,Gentle reminder Covid booster and Flu vaccine is still available to staff Our vaccinators are roving around both clinical and nonclinical areas You can also pop into the Siren hub Lets continue to Roll Up Roll Up
1597869637865476098,2022-11-30 08:26:23+00:00,, Ontario  people who have not had the covid vaccine should be seen as mentally ill and should be given Psychiatric medicati
1597869629875318785,2022-11-30 08:26:21+00:00,USA," Since twitter is no longer enforcing COVID 19 disinformation bans I can finally tell you the truth
The Moderna vaccine inc"
1597639472782270465,2022-11-29 17:11:47+00:00,, Covid vaccine adverse effects blood clots strokes heart attacks etc are caused by fear mongering and scare tactics us
1597632330142978048,2022-11-29 16:43:24+00:00,,"Covid vaccine adverse effects blood clots strokes heart attacks etc are caused by fear mongering and scare tactics used by antivaccination groups 

This is the state of science in 2022 
_ "
1597869975800193024,2022-11-30 08:27:43+00:00,," Covid vaccine effectiveness countdown 

 Sound On

"
1597869962345218048,2022-11-30 08:27:40+00:00,alternate universe since 2020,_laco BREAKING The 6th Circuit Court of Appeals upheld an injunction protecting unvaccinated Air Force service members from bein
1597869950445625345,2022-11-30 08:27:37+00:00,"New York, NY", Now that Twitter stopped enforcing its COVID misinformation policies I can finally tell you that the vaccine doesnt work
1597869948759871488,2022-11-30 08:27:37+00:00,UK or Greece, 100K signatures mean the Covid19 vaccine approval process is debated in the    Please SIGN amp SHARE 
1597869938332823552,2022-11-30 08:27:34+00:00,, Here is some legitimate  about the    bio weapons   
1597869929323442177,2022-11-30 08:27:32+00:00,"Paris, France", Covid vaccine adverse effects blood clots strokes heart attacks etc are caused by fear mongering and scare tactics us
1597869924340621313,2022-11-30 08:27:31+00:00,"New Delhi, India"," Under PM Sh  India showing the way in COVID care
Congratulations Team Biotechnology led by Dr Rajesh G"
1597869918560866305,2022-11-30 08:27:30+00:00,,  The vaccine is a lie People keep getting Covid Pfizer has admitted it was never tested for preventing transmission and wheres the evidence that it lessens the severity of disease People please wake up
1597869900617641984,2022-11-30 08:27:25+00:00,That Place !," BREAKING French scientists have revived a zombie virus which was frozen under a lake in Russia for 50000 years 

Y"
1597869882238197760,2022-11-30 08:27:21+00:00,, If the vaccine doesnt prevent COVID it doesnt stop transmission and if you get COVID it could still be fatalso what
1597632329899716610,2022-11-29 16:43:24+00:00,, Lets think about this China Unleashed covid on the world but they didnt have an effective vaccine ready to go to protect their people common sense says
1597632320789688321,2022-11-29 16:43:22+00:00,"Bradford West Gwillimbury, Ont",  _liberals  Just because there is more girls that sucked my dick than didnt is the only reason more died from covid lol But still sucking my dick protects you from covid Now replace my dick with the vaccine you get it Lol
1597632307548286976,2022-11-29 16:43:19+00:00,Social Distance, Clinics across Massachusetts offering 75 gift cards for COVID vaccines and boosters 
1597632303714697217,2022-11-29 16:43:18+00:00,, My dad was healthy his whole life never took meds no ailments He died suddenly of a heart attack ONE day after he t
1597632295120171010,2022-11-29 16:43:16+00:00,this God forsaken rock,One effect of the COVID19 bivalent vaccine that hasnt been picked up by the MSM of course is the fact that it alters your DNA to make your penis grown an inch or more Several peer reviewed studies have noted this side effect to RNA vaccines   
1597632279312224256,2022-11-29 16:43:12+00:00,, Covid vaccine trials didnt monitor menstrual changes Researchers say its part of a bigger problem 
1597632273582415872,2022-11-29 16:43:11+00:00,Alternate Dimension,"_truther The antivax film DIED SUDDENLY claims the COVID vaccine is causing blood clots that were never seen before 2021

I"
1597632270164447237,2022-11-29 16:43:10+00:00,Vancouver Island, Theres a COVID19 vaccine clinic open daily in  at the AgRec Centre If eligible book an appointment and head
1597632269950545921,2022-11-29 16:43:10+00:00,A Farm In Northeast Ohio, The reason millions of people ran out to get Jab after Jab after Jab after they were repeatedly lied to about the effecti
1597632265471004672,2022-11-29 16:43:09+00:00,"Arnhem, the Nederlands",   The concept of a COVID19 Vaccine Pass was is that if you take the shot you dont get infected and yo
1597632251747082245,2022-11-29 16:43:06+00:00,"Jersey City, New Jersey","  to impose  restrictions on international travel

tcolJL7dOyOu8 "
1597632234957451264,2022-11-29 16:43:02+00:00,Vancouver Island, Theres a COVID19 vaccine clinic open today for all ages at the  Health Care Centre If youre eligible book an a
1597632227760025600,2022-11-29 16:43:00+00:00,"Boston, MA"," If you had funds on FTX the following organizations would like to thank you for your support

1 The Democrats
2 The F"
